code,first_name,id,second_name,team_code,web_name
49440,Hal,408,Robson-Kanu,35,Robson-Kanu
49944,Jake,409,Livermore,35,Livermore
49957,Kamil,410,Grosicki,35,Grosicki
50229,Matt,411,Phillips,35,Phillips
59940,Kyle,412,Bartley,35,Bartley
61600,Romaine,413,Sawyers,35,Sawyers
77777,Ahmed El-Sayed,414,Hegazy,35,Hegazi
78356,Charlie,415,Austin,35,Austin
82078,Kenneth,416,Zohore,35,Zohore
101982,Sam,417,Johnstone,35,Johnstone
108053,Conor,418,Townsend,35,Townsend
146426,Oluwasemilogo Adesewo Ibidapo,419,Ajayi,35,Ajayi
173809,Jonathan,420,Leko,35,Leko
174593,Kyle,421,Edwards,35,Edwards
176420,Darnell,422,Furlong,35,Furlong
195864,Sam,423,Field,35,Field
216616,Dara,425,O'Shea,35,O'Shea
